# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
2883	combustível	na	fuel, combustible	EP				homem de grande habilidade política, soube • os preços de combustíveis vão subir conquistar a adesão popular	Being a man gradualmente – The price of fuel will of great political skill, he knew how to win gradually go up. popular support. 54 | 860+a -f -s 55 | 424	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2884	necessariamente	av	necessarily	EP				aperícia policial comprovou o arromba- • adivisão do trabalho conduz, necessariamente, à especialização	Labor mento da porta do quarto – The police expertise substantiated the fact that the division necessarily leads to specialization. bedroom door was broken into. 55 | 466 54 | 510-f	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::av
2885	trato	nm	dealing, tract	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2886	automático	aj	automatic	EP				aalegoria é de suma importância no • carros com transmissão automática não pensamento cristão	Allegories are of the têm embraiagem – Cars with automatic highest importance in Christian thought. transmissions don’t have a clutch. 54 | 430 53 | 912+a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2887	precisão	nf	precision	EP				adinastia foi extinta e apareceu uma • esse tipo de erro afeta a precisão das república	The dynasty became extinct and medidas – This type of error affects the arepublic appeared. precision of the measurements. 55 | 436 54 | 618+a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2888	porção	nf	part, portion, section	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2889	titular	na	title holder, cabinet member	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2890	vídeo	nm	video	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2891	ausente	aj	absent	EP				oar que desce pela vertente oposta contém • Andrade estava ausente de Lisboa e só menos humidade	The air that comes regressaria no dia seguinte – Andrade was down the opposite slope is less humid. absent from Lisbon and would only be 54 | 428 coming back the next day. 55 | 444	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2892	mato	nm	thicket, brush, weeds começou a fumar – She took the pack of	EP				os homens da fazenda entraram no mato à cigarettes out of her purse and began to sua procura	The men from the farm smoke. entered into the thicket, searching for him. 52 | 655 54 | 617+f+s -a -n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2893	articular	v	to articulate	EP				existe a natureza dupla (angélica e carnal) do • emocionado, incapaz de articular palavras, homem	There exists in man a dual nature obispo lançava risos nervosos – Full of (angelic and earthly). emotion, incapable of articulating words, the 54 | 435 bishop laughed nervously. 54 | 426	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2894	morro	nm	hill conventos de frades – In the following	EP				comecei a subir para o morro, onde entre years, the Dominicans built convents for as árvores se erguiam os grandes pavilhões monks.	Ibegan to climb the hill where the large 55 | 531-s pavilions rose up amid the trees. 54 | 602+f -a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2895	altamente	av	highly –Absolute zero is only a theoretical	EP				oJapão é um país altamente industrializado construct.	Japan is a highly industrialized country. 53 | 726+a 54 | 487	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::av
2896	depoimento	nm	testimony, affidavit	EP				omoço era perfeito, um pouco delgado, mas • os depoimentos de testemunhas são sólido	The young boy was perfect, a little apresentados sob juramento – The thin, but solid. testimonies of witnesses are presented under 54 | 458 oath. 53 | 646+n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2897	estrear	v	to premiere, inaugurate invenções, inicialmente na indústria têxtil –	EP				ofilme estreou-se no Festival de Veneza	The 1700’s witnessed a series of inventions, The film premiered at the Festival of Venice. beginning within the textile industry. 53 | 661+a -f 54 | 445	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2898	casca	nf	peel, skin, bark	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2899	frei	nm	friar	EP				ele fora por frei Serafim escolhido para		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2900	salgado	aj	relating to salt	EP				essa porção da nossa espinha curva-se em • oMediterrâneo é mais salgado e mais direção à região anterior	That part of our quente que o Atlântico – The Mediterranean spine curves towards the front. is saltier and warmer than the Atlantic. 53 | 665+a -n 53 | 398	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2901	nervo	nm	nerve	EP				otitular da conta é alguém que se chama • oestribilho incessante arranhava-lhe os José	The title holder of the account is nervos – The constant refrain grated on his someone called Joseph. nerves. 55 | 622+n 55 | 618-n-s	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2902	toque	nm	touch	EP				técnicas audiovisuais como vídeo e • havia um leve toque de ironia na voz	fotografia são muito utilizadas – Audiovisual There was a light touch of irony in his techniques like video and photography are voice. very common. 54 | 505 54 | 700+n -f	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2903	vertente	nf	slope, downgrade, incline	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2904	fumar	v	to smoke	EP				tirou o maço de cigarros da algibeira e		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2905	duplo	aj	dual, double	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2906	convento	nm	convent	EP				anos seguintes, os dominicanos construíram		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2907	teórico	na	theoretical, theorist	EP				ozero absoluto é apenas um estado teórico		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2908	delgado	aj	thin, delicate, fine	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2909	invenção	nf	invention	EP				os anos de 1700 viram uma série de		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2910	historiador	nm	historian	EP				ofruto é globoso, com casca dura, e polpa • nenhum historiador cita um texto sem o ácida	The fruit is spherical, with a hard situar ou o comentar – No historian cites a peel and acidic pulp. text without putting it into context or 53 | 415-n commenting on it. 53 | 485	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2911	nomear	v	to appoint, name zelador da capelinha – He was chosen by	EP				pensou em nomear Thomas Edison ministro friar Seraphim as caretaker of the small da Energia	He thought to appoint Thomas chapel. Edison as Minister of Energy. 54 | 456 54 | 491+a 142	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2912	loucura	nf	insanity	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2913	expressar	v	to express	EP				os olhos não expressavam alegria nenhuma		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2914	turma	nf	class, group, team most complete look at a Roman city.	EP				euera o melhor aluno da turma	Iwas the 55 | 517-s best student in the class. 54 | 417	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2915	assustar	v	tofrighten, scare instrumentos tais como a roda – In the	EP				ela gritara com tal veemência que cheguei Middle Ages, physical torture was performed ame assustar	She shouted with such with instruments such as the wheel. vehemence that I began to be frightened. 54 | 413 53 | 725+f -a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2916	urgência	nf	urgency	EP				em 1955, recebeu uma medalha de ouro • não há grande urgência no meu pedido	como melhor pintor do ano – In 1955, he There is no great urgency in my request received a gold medal for best painter of the 53 | 534+n-a year.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2917	cheque	nm	check 53 | 523	EP				tal como um cheque, é negociável caso seja		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2918	impresso	aj	printed 54 | 443	EP				foram impressos cerca de 50 mil folhetos		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2919	duração	nf	duration noted the four-wheel independent suspension.	EP				oprojeto tem uma duração prevista de dez 54 | 664+n -s anos	The project has a projected duration	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2920	fantasma	nm	ghost host cells.	EP				os fantasmas costumam assombrar locais 54 | 642+a -f associados a um acontecimento trágico		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2921	pequenino	aj	little (familial), very small meanings of the novel do not hide its	EP				aos sete anos, porém, ele era um pequenino existential dimension. anjo	When seven years old, however, he 55 | 447+s -f was a little angel.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2922	pessoalmente	av	personally utilidade para o desenvolvimento da	EP				não o conheço pessoalmente, mas tenho psicologia	This technique would be of great acompanhado o seu trabalho – Idon’t know usefulness in the development of psychology. him personally, but I have followed his work. 53 | 510 53 | 413+n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::av
2923	colheita	nf	harvest	EP				acredito mesmo que era a forma mais • oseu rápido crescimento permite várias eficiente	Ireally believe that it was the colheitas por ano – Its rapid growth allows most efficient way. for several harvests per year. 54 | 506 53 | 402	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2924	guitarra	nf	guitar	EP				ovestido escuro, abotoado até o queixo, • aguitarra de 12 cordas é usada na música fazia-lhe ressaltar a palidez do rosto	Her country – The 12 string guitar is used in dark dress, buttoned up to the chin, country music. emphasized the paleness of her face. 52 | 402 54 | 686+n -f -s 19.Ser / estar / ficar Portuguese has three words that express the concept [to be]: ser, estar, and ficar. Ser is used to refer to the norm (o João é gordo: “John has always been fat”), while estarrefers to a change from the norm (o João comeu muito, e aaggoorraa eestá gordo: “John has eaten a lot, and now he’s fat”). Because some adjectives naturally express the norm and others naturally express a more temporary departure from the norm, they tend to occur more with one or the other of these two verbs. Finally, unlike Spanish, which has just serand estar, Portuguese also has the verb ficar, which typically expresses the end result of an action (quase todos sairam, e ela ficou sozinha: “almost everyone went away, and she was left alone”). The following lists show the most common adjectives that occur with ser, estar, or ficar. In each case, the table shows the percent of all occurrences with the indicated verb (rather than the other two verbs), the adjective, its number in the frequency dictionary, and the English gloss. Mainly with ser: Mainly with estar: Mainly with ficar: 1.00 importante 207 0.98 prestes 3248 about to, 0.70 célebre 2404 renowned, important ready to famous 0.99 comum 422 common 0.93 ausente 2891 absent 0.52 furioso 4551 furious 0.99 justo 1588 just, fair 00..9922 inscrito 4198 enrolled, 0.46 nu 2116 naked, nude inscribed 0.99 simples 491 simple 0.41 sozinho 1170 alone 0.90 disponível 1623 0.99 inútil 3015 useless available 0.37 silencioso 3905 silent 0.99 impossível 925 impossible 0.86 apto 1261 apt, capable 0.37 vermelho 819 red 0.83 operacional 3829 0.98 constante 1343 0.35 nervosa 1658 nervous operational constant 0.34 tranquilo 2220 calm, 0.81 pronto 776 ready 0.98 inferior 1360 less, tranquil inferior 0.78 cheio 712 full 0.33 distante 1570 distant 0.98 semelhante 946 0.78 ansioso 4133 anxious similar 0.76 atento 2233 attentive 0.33 inconsciente 3442 unconscious 0.98 interessante 738 0.74 repleto 4041 full of, interesting overrunning with 0.33 mudo 1809 silent, 0.97 igual 442 equal 0.71 doente 769 sick, ill mute 0.97 longo 246 long 0.70 patente 2682 evident 0.31 tenso 4899 tense 0.97 superior 424 above, 0.68 exposto 3296 displayed, 0.31 exposto 3296 displayed, superior exposed exposed 0.97 pequenino 2921 very 0.68 consciente 2269 aware, 0.30 roxo 4476 dark red, small conscious purple 0.97 qualquer 110 0.63 próximo 226 next, 0.30 vazio 1443 empty whichever close, near 0.30 assente 4189 agreed 0.97 pequeno 139 small 0.62 assente 4189 agreed 0.97 fácil 573 easy 0.61 quente 984 hot 0.29 incompleto 4767 incomplete 0.97 curto 607 short 0.97 terrível 1891 terrible 0.29 famoso 1185 famous 0.97 insuficiente 4174 0.28 confuso 3848 insufficient confusing, confused 144	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2925	aperceber	v	torealize, perceive [EP]	EP				ela me põe tonta, passa para mim a sua • as tropas ficaram cercadas e, apercebendo-se loucura	She makes my head spin; she’s do seu erro, bateram em retirada [EP] – The passing her insanity on to me. troops were surrounded and, realizing their 53 | 653+f error, retreated. 54 | 384	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2926	ruína	nf	ruin –Her eyes didn’t express any joy.	EP				as ruínas de Pompeia oferecem a 53 | 495+a -f perspectiva mais completa de uma cidade romana	The ruins of Pompeii offer the	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2927	tortura	nf	torture	EP				naIdade Média, a tortura física utilizava		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2928	medalha	nf	medal	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2929	abandono	nm	abandonment endossada pelo beneficiário – Just like a	EP				amídia divulga com freqüência o abandono check, it is cashable when it is endorsed by dos velhos em asilos	The media reports the person to whom it was written. frequently on the abandonment of the elderly 53 | 525+n-a in rest homes.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2930	suspensão	nf	suspension informativos – About 50 thousand	EP				na rápida vistoria técnica, notaram a informative brochures were printed. suspensão independente nas quatro rodas	54 | 377 During the quick, technical inspection, they	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2931	vírus	nm	virus of ten years.	EP				osvírus multiplicam-se invadindo células 54 | 671+a hospedeiras	The viruses multiply, invading	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2932	ideológico	aj	ideological Ghosts tend to haunt areas associated with	EP				os sentidos ideológicos do romance, some tragic occurrence. contudo, não escondem uma dimensão 53 | 476 existencial	Overall, the ideological	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2933	utilidade	nf	usefulness, use 55 | 757+s -a -n	EP				esta técnica revelou-se ser de grande		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2934	eficiente	aj	efficient	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2935	ressaltar	v	to emphasize, point out [BP]	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2936	bacia	nf	basin	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2937	finalidade	nf	objective, purpose, end	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2938	abrigar	v	to shelter, protect entre fumo e doenças – Companies	EP				eles construíram galpões para abrigar os questioned the causal relation between sem-teto do terremoto	They built pavilions smoking and diseases. to shelter the homeless from the earthquake. 53 | 509+n +s -f 54 | 434-s	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2939	simbólico	aj	symbolic He died in an airplane disaster.	EP				o ato tem significados simbólicos e religiosos muito importantes para os nativos	The act 53 | 449 has very important symbolic and religious	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2940	comité	nm	committee requires the participation of all its citizens.	EP				o comité é composto por um presidente e 53 | 408 19 vice-presidentes	The committee is composed of a president and 19 vice-	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2941	contratado	aj	contracted (employees)	EP				os contratados vão passar por um curso de		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2942	paraíso	nm	paradise	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2943	burro	na	donkey, ass, fool telefónicas que chegavam ao seu escritório	EP				Este animal é um híbrido de um burro	He answered dozens of faxes and macho com uma égua – This animal is a telephone calls that came into his office. hybrid of a male donkey with a mare. 53 | 551 52 | 687+f +s -a -n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2944	punir	v	to punish – At the dance, I thought it was nice to see	EP				este crime é punido com pena de prisão	her dance with her father. This crime is punished with a prison sentence. 53 | 469-a 54 | 403+n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2945	usado	aj	used eles praticam. [EP] – Gymnastics and tennis	EP				tornou-se possível a importação de veículos are the only sports they participate in. usados	Then it became possible to import 53 | 610+n -f used cars. 53 | 670+a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2946	pá	nf	shovel, scoop mais facilmente convertíveis em calor –	EP				foi buscar outra pá dos trabalhadores rurais Electricity is one of the forms of energy that	He went to get another shovel from the is most easily converted into heat. field workers. 53 | 449 52 | 573+s -a -n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2947	abater	v	to come down, cut down	EP				o castigo corporal de crianças pelos pais é • as chuvadas de granizo se abateram sobre a proibido em alguns países	The corporal região – The falling hail came down on the punishment of children by their parents is region. forbidden in some countries. 54 | 432 53 | 505	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2948	subida	nf	rise, ascent	EP				a serra separa as bacias hidrográficas dos • com a subida dos nazis ao poder, ele dois rios	The mountain range separates emigrou para os EU – With the rise of the the hydrographic basins from the two rivers. Nazis to power, he immigrated to the US. 54 | 478 53 | 535	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2949	bala	nf	shot, bullet, candy [BP]	EP				o vereador revelou que a finalidade da • dispararam uma bala de canhão	comissão é recolher informações – The They fired a cannon shot. congressman revealed that the committee’s 53 | 552-a objective is to gather information.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2950	questionar	v	to question 52 | 601+a	EP				as empresas questionaram a relação causal		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2951	desastre	nm	disaster	EP				ele morreu num desastre de aviação		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2952	verdadeiramente	av	truly significance to the natives.	EP				uma sociedade verdadeiramente 53 | 394 democrática exige a participação de todos os cidadãos	A truly democratic society	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::av
2953	separado	aj	separated presidents.	EP				ele não é separado legalmente da mulher	54 | 590 He is not legally separated from his wife. 54 | 423	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2954	agudo	aj	sharp, acute 30 dias – The contracted employees will take	EP				ouviram um grito agudo	They heard a a 30-day course. sharp cry. 53 | 453 53 | 566-n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2955	cemitério	nm	cemetery	EP				você foi expulsa do Paraíso. Agora faz parte • Ele foi sepultado no cemitério da vila	do mundo dos mortais – You have been cast He was buried in the village cemetery. out of paradise. You are now part of the 53 | 588-a world of mortals.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2956	telefónico	aj	telephone 54 | 489	EP				ele respondia a dezenas de faxes e chamadas		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2957	baile	nm	dance, ball	EP				no baile achei bonito vê-la dançar com o pai		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2958	desporto	nm	sport [EP]	EP				ginástica e ténis são os únicos desportos que		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2959	electricidade	nf	electricity	EP				a electricidade é das formas de energias		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2960	castigo	nm	punishment, curse	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2961	descrição	nf	description	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2962	isolamento	nm	isolation	EP				O isolamento e a calma da prisão permitem-		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2963	demonstração	nf	demonstration 54 | 380	EP				eles fizeram uma louvável demonstração de resistência	They made a laudable	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2964	integrante	na	integral, member	EP				outro elemento integrante do conceito de 53 | 399 diplomacia é a existência de intermediários		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2965	caderno	nm	notebook	EP				ela tinha um pequeno caderno em que 52 | 788+f -a escrevia pensamentos e opiniões	She had	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2966	luminoso	aj	bright, luminous 54 | 839+n -f	EP				o sinal luminoso à minha frente fica		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2967	nomeação	nf	nomination perished.	EP				sua nomeação para presidente da 53 | 428 Comissão Europeia foi vetada pelo anterior		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2968	coligação	nf	alliance, federation, union	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2969	comportar	v	to behave	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2970	excepto	prp	except	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::prp
2971	armazém	nm	storehouse	EP				os armazéns estão abarrotados de arroz e		2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2972	caçador	nm	hunter	EP				ele lhe dá uma carta de recomendação, • 200 tigres são mortos todos os anos por encaminhando-o a um amigo	He is giving caçadores ilegais – 200 tigers are killed every him a letter of recommendation and year by illegal hunters. directing him to a friend of his. 53 | 376 53 | 414 146	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2973	poupar	v	to save, spare	EP				ele pediu-me uma descrição minuciosa • consumir mais e poupar menos é uma das pessoas	He asked me for a detailed tendência dos países desenvolvidos – To description of the persons. consume more and save less is a tendency of 52 | 672+a -n developed countries. 53 | 533+n	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2974	iluminação	nf	lighting, illumination me pensar melhor – The isolation and calm	EP				o prédio tem uma iluminação que ressalta a of prison allow me to think more clearly. sua arquitetura e as cores	The lighting of 53 | 398 the building highlights its architecture and colors.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2975	fracasso	nm	failure demonstration of resistance.	EP				a campanha foi um fracasso até o general 54 | 454 assumir o comando	The campaign was a failure until the general took command.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2976	pressa	nf	hurry, urgency – Another integral element of the concept of	EP				sem saber porquê, ele sentiu que estava com diplomacy is the existence of intermediaries. pressa e não quis demorar-se	Without 54 | 711+n -f knowing why, he felt that he was in a hurry and didn’t want to be late.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2977	vice-presidente	nm	vice president a small notebook in which she wrote her	EP				ele é Vice-Presidente do Partido Popular thoughts and opinions. Europeu	He is Vice President of the 53 | 437 European People’s Party.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2978	tempestade	nf	storm, tempest vermelho – The bright traffic signal in front	EP				apanhados por uma violenta tempestade de of me turns red. neve, toda a expedição sucumbiu	Hit by a 55 | 637-n -s violent snow storm, the whole expedition	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2979	compensar	v	to compensate primeiro-ministro – His nomination to	EP				os lucros compensam as perdas	The profit president of the European Council was vetoed compensates for the loss. by the former prime minister. 53 | 393+n 54 | 449	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2980	sintoma	nm	symptom	EP				um mês depois, a coligação era estabelecida • os principais sintomas da doença são dor de com o Partido Democrata	A month later, cabeça, vômito e diarréia – The main the alliance with the Democratic Party was symptoms of the disease are headache, made. vomiting and diarrhea. 56 | 653-f 52 | 629+a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2981	discreto	aj	discrete	EP				nossa equipe aprendeu como se comporta • o carro parou à porta, discreto, quase um time vencedor	Our team learned how silencioso – The car stopped at the door, a winning team behaves. discrete, almost silent. 53 | 420 53 | 484	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2982	touro	nm	bull	EP				todos os monges, excepto frei Manuel, • ele tornou-se o primeiro matador português adoeceram	All the monks, except Frei a matar um touro no país – He became the Manuel, got sick. first Portuguese matador in the country to kill 54 | 464 a bull on Portuguese soil. 52 | 393	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2983	agradecer	v	to thank continua entrando o produto – The store-	EP				o Paulo agradecia a Deus aquela água	houses are full of rice and still more is coming Paulo thanked God for that water. in. 53 | 626-a 53 | 558+f	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2984	recomendação	nf	recommendation	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2985	emergência	nf	emergency	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2986	tranquilidade	nf	tranquility, peace	EP						2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2987	caçar	v	to hunt 54 | 588-n	EP				os noruegueses caçam baleias desde o século IX	The Norwegians have hunted	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2988	substituição	nf	substitution 53 | 441	EP				no que se refere à qualidade dos produtos, eles não aceita substituições	So far a	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2989	vital	aj	vital 53 | 498	EP				o esterno protege órgãos de importância vital	The sternum protects organs of vital	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::aj
2991	fornecedor	nm	provider bater umas bolas – He rolled up his shirt	EP				são 15 os principais fornecedores de auxílio sleeves and went to bat some balls. aos países pobres do mundo	There are 52 | 508 fifteen main providers of aid to the poor countries of the world.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2992	cauda	nf	tail the silk thread, the cocoon is carefully	EP				ele media cerca de 1 metro, possuindo um unraveled. longo pescoço e uma longa cauda	It was 52 | 664+f -n about 1 meter long, with a long neck and a long tail.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.fem
2993	posto	nm	station, post Hypochondriacs are constantly worried	EP				foi um edifício destinado a albergar o posto about their health. emissor da TV1	It was a building that 52 | 410 would become the transmission station for TV1.	2501-3000		freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
